,wordcount,images_number,links_number,title_keywords,body_keywords,url,clickbait
0,375,8,2,0,7,https://hola.com/sociedad/20180503123625/duque-westminster-nuevo-miembro-cuerpo-nobleza-principado-asturias/,True
1,507,5,3,2,7,https://www.hola.com/novias/20180424123253/barcelona-bridal-week-entrevista-herve-moreau/,True
2,146,16,1,0,1,https://www.hola.com/novias/20180425123336/barcelona-bridal-week-cronica-desfile-jordi-dalmau-2019/,True
3,671,5,15,0,14,https://www.hola.com/realeza/casa_inglesa/20180428123480/beatriz-york-vacaciones-karlie-kloss-jordania-moda/,True
4,264,40,1,0,1,https://www.hola.com/novias/20180424123289/barcelona-bridal-week-desfile-jesus-peiro/,True
5,447,12,2,0,6,https://www.hola.com/sociedad/20180410122690/sofia-iberostar-palma-mallorca-capital-mundial-vela/,True
6,412,83,1,0,3,https://www.hola.com/novias/20180427123427/barcelona-bridal-week-cronica-desfile-yolancris-2019/,True
7,521,5,5,1,9,https://hola.com/moda/tendencias/20180430123362/nieves-alvarez-looks-estilista-dia-noche/,True
8,380,5,7,1,4,https://mx.hola.com/cine/2018050422322/ines-gomez-mont-baby-shower-maria/,True
9,166,1,1,2,9,https://www.hola.com/realeza/casa_inglesa/20180504123674/colegio-primaria-recrea-boda-harry-meghan/,True
10,552,13,2,1,16,https://hola.com/moda/actualidad/20180430123556/premios-platino-2018-sala-hola-welcome-looks/,True
11,91,1,1,0,3,https://www.hola.com/decoracion/2017011390905/hola4u-belu-molina-lampara-de-hilo/,True
12,476,6,3,1,6,https://hola.com/moda/actualidad/20180503123642/edurne-elsa-pataky-posado-vestido-negro-roberto-diz/,True
13,110,1,0,0,5,https://www.hola.com/actualidad/20180419122980/cristina-pedroche-foto-bebe-belleza/,True
14,455,5,8,0,13,https://ac.hola.com/actualidad/20171220103689/victoria-brooklyn-beckham-vino-cocina/,True
15,806,12,9,0,10,https://www.hola.com/viajes/20180423123204/rincones-menos-conocidos-castilla-y-leon/,True
16,569,4,6,2,14,https://www.hola.com/realeza/casa_inglesa/20180426123379/meghan-markle-vestido-novia-suits-moda/,True
17,435,13,1,0,4,https://us.hola.com/actualidad/2018050312377/paola-paulin-actriz-conquisto-justin-bieber/,True
18,1052,5,1,0,12,https://hola.com/novias/20180426123368/barcelona-bridal-week-entrevista-reem-acra-2019/,True
19,627,2,3,1,10,https://oscars.hola.com/oscar-2018/201803053817/oscars-2018-emily-ratajkowski/,True
20,305,2,4,0,6,https://oscars.hola.com/oscar-2018/201803053797/oscars-2018-pins-reivindicativos/,True
21,615,4,7,0,10,https://www.hola.com/actualidad/20180424123307/pilar-rubio-paseo-hijos-delantal-lactancia-moda/,True
22,1220,3,7,1,9,https://oscars.hola.com/oscar-2018/201803053809/oscars-2018-peinado-jennifer-lawrence-margot-robbie-belleza/,True
23,390,7,4,0,6,https://www.hola.com/viajes/galeria/20180427123431/escapadas-fines-de-semana-mayo-2018/1/,True
24,787,9,8,1,6,https://www.hola.com/novias/2017090799011/elegir-vestido-fiesta-segun-silueta-ar/,True
25,465,4,4,0,5,https://www.hola.com/actualidad/20180503123643/kiko-rivera-pasar-duros-momentos-isabel-pantoja/,True
26,307,0,0,0,4,https://us.hola.com/belleza/2018042011978/halle-berry-abs-workout-vv/,True
27,412,83,1,0,3,https://hola.com/novias/20180427123427/barcelona-bridal-week-cronica-desfile-yolancris-2019/,True
28,320,5,5,0,5,https://www.hola.com/viajes/20180425123300/atlantis-fuerteventura-resort-hoteles-que-enamoran/,True
29,521,5,5,1,9,https://www.hola.com/moda/tendencias/20180430123362/nieves-alvarez-looks-estilista-dia-noche/,True
30,342,7,1,2,5,https://hola.com/novias/20180425123331/barcelona-bridal-week-cronica-desfile-rosa-clara-2019/,True
31,353,5,5,0,4,https://www.hola.com/moda/pasarelas/20180504123652/chanel-crucero-2018-front-row-curiosidades-desfile/,True
32,434,4,6,1,11,https://www.hola.com/actualidad/20180504123673/ariana-grande-emocion-primera-entrevista-tras-manchester/,True
